key,section,question,answer,comment
73,Chemical Safety, Are ethers and other peroxide formers dated upon receipt and when opened?,NA,"   All peroxide-forming reagents should be dated upon receipt and opening.  Peroxides are sensitive to heat, friction, impact, and light as well as to strong oxidizing and reducing agents.  Solids forming in the liquid or around the cap could indicate a dangerous peroxide build-up.  If you see evidence of a dangerous peroxide build-up, contact EEM-EHS immediately at extension 2543 for assistance. If the lab plans to keep the peroxide-forming chemicals longer than their shelf-life of one year, it is important to utilize peroxide test strips to test for peroxides and to document this testing. EEM-EHS will provide the test strips for current testing that is needed but, in the future, please purchase the test strips. EEM-EHS does not endorse any specific company but Grainger does sell these test stips.  Please go to grainger.com and type in 'peroxide test strips' in the search window on the top left corner of the Grainger web page. EEM-EHS is in the process of developing a label to place on all peroxide-forming chemicals that includes information on documenting the peroxide tests. EEM-EHS will order and supply the lab with these labels once developed. Until this time, please document the dates and results of the test strips in the Chemical Hygiene Plan Notebook."
74,Chemical Safety, Are chemical containers in good condition?,NA,"   (Explain why the container is not in good condition.)  The container used to store chemicals was inappropriate.  The container material may be incompatible with the product or the original use intended for the container is not suitable for the present use, i.e. chemicals stored in beverage containers.  "
75,Chemical Safety, Are storage cabinet shelves and shelves in good condition?,NA,   (Explain which shelves are not in good condition and possible reasons why the shelves are not in good condition.)
76,Chemical Safety," If the lab works with HF, does the lab have calcium gluconate gel?",NA,   Labs using hydrofluoric acid (HF) must have an unexpired tube of calcium gluconate gel readily available for emergency use.  EEM-EHS will supply the lab with a tube of this gel. 
77,Chemical Safety," If the lab works with HF and has calcium gluconate gel, is the gel NOT expired?",NA,   Labs using hydrofluoric acid (HF) must have an unexpired tube of calcium gluconate gel readily available for emergency use.  EEM-EHS will supply the lab with a tube of this gel.
78,Waste Disposal, Is there an Satellite Accumulation Area (SAA) sign demarcating the waste storage area in the lab?,NA,   EEM-EHS will set up an SAA area in your lab.
79,Waste Disposal, Are satellite waste containers labeled with a UML hazardous waste label?,NA,   It is the laboratory's responsibility to properly label the hazardous waste with a UML hazardous waste label.
80,Waste Disposal, Are the appropriate hazard boxes checked on the UML hazardous waste label?,NA,   It is the laboratory's responsibility to check the appropriate hazard boxes on the UML hazardous waste label.
81,Waste Disposal, Is each chemical constituent written out without abbreviation or formulas?,NA,"   Containers labeled with chemical formulas, chemical structures, acronyms, or codes should be clearly identified using the full chemical name."
82,Waste Disposal, Are waste containers stored in secondary containment?,NA,   Hazardous waste containers must be stored on spill trays to help contain spills.  EEM-EHS will deliver spill trays to use as secondary containment.
83,Waste Disposal, Are waste containers kept closed unless being worked with?,NA,   Chemical waste containers must be capped at all times unless actively transferring waste.
84,Waste Disposal, Are wastes properly segregated by hazard class?,NA,"   All hazardous waste must be stored according to class, and separate storage areas should be provided for incompatible waste.  At a minimum, separate spill trays are required to isolate incompatible waste."
85,Waste Disposal, Are lab users complying with the UML no pour down the drain policy?,NA,"   The University is NOT PERMITTED to release ANY hazardous material to the municipal waste water treatment facility.  Prior to the release of any waste to the municipal waste water system, the EEM-EHS office MUST determine that a waste by-product is non-hazardous. Here is a link to an electronic copy of the non-hazardous waste determination form. \nhttp://www.uml.edu/EEM/EHS/Lab-Safety.aspx"
86,Waste Disposal, Are hazardous waste labels easy to read?,NA,"   All hazardous waste labels must be clearly labeled as to their content.  If a label on a hazardous waste container is not readily identifiable, it should be labeled again for proper identification.  Containers labeled with chemical formulas, chemical structures, acronyms, or codes should be clearly identified using the full chemical name."
87,Waste Disposal, Are stock chemicals stored separately from waste chemicals?,NA,"   Waste chemicals must be stored in the satellite accumulation area (SAA), separate from the stock chemicals."
88,Waste Disposal, Are full satellite waste containers dated and removed within 72 hours?,NA,"   (Explain what you found during the inspection.  For example, the waste containers are not dated or the waste containers are dated x/x/x which is over the 3 day limit for holding waste in the lab.)  All hazardous waste containers must be dated once full and they must be picked up within 3 days after the container is full and date. The satellite accumulation areas are inspected weekly (typically every Wednesday) by EEM-EHS.  Full and/or dated containers of hazardous waste are picked up by EEM-EHS during the weekly inspection checks and upon request by calling extension 42543.  It is important to call extension 42543 for a pick-up if your full container of waste is generated on Thursday, Friday, Saturday or Sunday.  If you generate a full container of hazardous waste on Monday or Tuesday, there is no need to call since the hazardous waste will automatically be picked up on Wednesday."
89,Waste Disposal, Are secondary containment bins free of spilled chemical waste?,NA,   Good housekeeping creates an intrinsically safer work place and should be maintained scrupulously in areas where hazardous materials are used.
90,Waste Disposal, Are satellite waste containers in good condition?,NA,   (Explain why the waste container is NOT in good condition.)  EEM-EHS will pick up the waste container since it is not in good condition.
91,Waste Disposal, Are rigid cardboard boxes available for the collection of lab glass?,NA,   A lab glass waste box is needed for this lab.  EEM-EHS will deliver a lab glass waste box to this lab.
92,Waste Disposal, Are the lab glass waste boxes in good condition?,NA,   The lab glass waste boxes are not in good condition.  (Provide details here on why the boxes are not in good condition.)  EEM-EHS will stop by to pick up the lab glass waste boxes.
93,Waste Disposal," Are sharps (broken glass, pipettes, needles, razors, etc.) being disposed of properly?",NA,"   All sharps must be disposed of properly in labeled, puncture-proof containers with the universal biohazard symbol.  (Needles are considered regulated medical waste.)  Sharps containers must be available for disposal of all sharps generated in the lab.  EEM-EHS will deliver a sharps container to the lab."
94,Waste Disposal, Are sharps containers less than 3/4 full?,NA,"   The sharps container is over 3/4 full.  EEM-EHS will stop by to pick up the sharps container.  From now on, please call EEM-EHS at extension 42543 to schedule a pick-up of the sharps container before the sharps container is over 3/4 full."
